"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"เรียนพิเศษโคราช KRT Education ชลประทาน สามแยกปัก","5","16","1195 19 ถ. มิตรภาพ","เมือง","นครราชสีมา","TH","https://www.facebook.com/krteducation","+66 95 679 6817","https://www.google.com/maps/search/?api=1&query=%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A%20KRT%20Education%20%E0%B8%8A%E0%B8%A5%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B2%E0%B8%99%20%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B9%81%E0%B8%A2%E0%B8%81%E0%B8%9B%E0%B8%B1%E0%B8%81&query_place_id=ChIJGX9jUKazHjERGWxoEO9dP88",,,"ติวเตอร์ส่วนตัว"
"บาลานซ์ ติวเตอร์หมู สาขานครราชสีมา","5","1","บริเวณโรงแรมสีมาธานี 2112/5 ถ. มิตรภาพ","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH",,"+66 89 425 9999","https://www.google.com/maps/search/?api=1&query=%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%99%E0%B8%8B%E0%B9%8C%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%AB%E0%B8%A1%E0%B8%B9%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2&query_place_id=ChIJuQOQukmzHjERyLPCkpcrzXs",,,"สถาบันการสอบเข้าเป็นข้าราชการ"
"บ้านครูวิทย์ โคราช","5","3","2513 4 สืบศิริ ซอย 28","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH","https://www.facebook.com/watchyffhouse/","+66 86 718 2454","https://www.google.com/maps/search/?api=1&query=%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C%20%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A&query_place_id=ChIJJy1v2fmzHjERc3YU4uw__SQ",,,"โรงเรียนกวดวิชา"
"ขยันติวเตอร์ นครราชสีมา | Kayhan Tutor Nakhonratchasima","5","2","173 ถนน จักรี","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH","http://www.facebook.com/kayhantutorkorat","+66 85 611 3230","https://www.google.com/maps/search/?api=1&query=%E0%B8%82%E0%B8%A2%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2%20%7C%20Kayhan%20Tutor%20Nakhonratchasima&query_place_id=ChIJsb58ALFNGTERmhcNPeZ_KvU",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาโคราชติวเตอร์กรุ๊ป",,,"ถนน พลแสน","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B9%8A%E0%B8%9B&query_place_id=ChIJ4TqS1WxNGTERYZwg6Rhsbbs",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาฟ้าใส (Fahsai Tutor)","4.6","8","7 9 ถนนสรรพสิทธิ์","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH",,"+66 44 255 551","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%83%E0%B8%AA%20(Fahsai%20Tutor)&query_place_id=ChIJdXNsaJFMGTERjgCyI1YCwDA",,,"บริการกวดวิชา"
"DK Deutsch Korat โรงเรียนสอนภาษาเยอรมัน โคราช","4.7","12","95/4 ซ.20 ถนน มุขมนตรี","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH",,"+66 82 375 3035","https://www.google.com/maps/search/?api=1&query=DK%20Deutsch%20Korat%20%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B8%AD%E0%B8%A3%E0%B8%A1%E0%B8%B1%E0%B8%99%20%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A&query_place_id=ChIJ-fRxIOezHjERlr0FWpAxY9I",,,"โรงเรียนสอนภาษาเยอรมัน"
"ครูปุ๊กแกรมม่า",,,"2112, 42 ถ. มิตรภาพ","เมือง","นครราชสีมา","TH",,"+66 88 580 3247","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B9%88%E0%B8%B2&query_place_id=ChIJa6hdggmzHjER9O3tbUQhflw",,,"ติวเตอร์ส่วนตัว"
"บ้านครูจุ๋ม","5","1","87 19 เดชอุดม ซอย 6","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH",,"+66 89 717 8688","https://www.google.com/maps/search/?api=1&query=%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%88%E0%B8%B8%E0%B9%8B%E0%B8%A1&query_place_id=ChIJbwt6BQJNGTERpqAcjQksaJw",,,"โรงเรียนกวดวิชา"
"โรงเรียนกวดวิชาเอ็นคอนเส็ปท์ โคราช","4.5","2","18 ถนน ชุมพล","อำเภอเมืองนครราชสีมา","นครราชสีมา","TH","https://www.facebook.com/enconceptkorat12","+66 44 248 985","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AA%E0%B9%87%E0%B8%9B%E0%B8%97%E0%B9%8C%20%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A&query_place_id=ChIJN65F5pZMGTERQn10nsoECMk",,,"โรงเรียนสอนภาษา"
