"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"โรงเรียนกวดวิชา สมาร์ทนครศรีธรรมราช","4.7","12","60/9-10 ซอยเอกนคร, ถนนพัฒนาการคูขวาง, ตำบลท่าวัง อำเภอเมือง จังหวัดนครศรีธรรมราช, 80000","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"+66 75 340 955","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A&query_place_id=ChIJg6JLZzUBUzARXMarXCk4LM4",,,"บริการกวดวิชา"
"โรงเรียนจงมี ติวเตอร์",,,"350 ถนนกะโรม","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%88%E0%B8%87%E0%B8%A1%E0%B8%B5%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJEzFjF9gAUzARk5J3AZGdF7E",,,"โรงเรียนกวดวิชา"
"T-Maths","5","13","152, ธรรมรา, 413ถนน ประตูขาว","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"+66 88 088 8003","https://www.google.com/maps/search/?api=1&query=T-Maths&query_place_id=ChIJS7b6h0cBUzARenzer1F8Upk",,,"โรงเรียนคณิตศาสตร์"
"GT โรงเรียนกวดวิชา","5","1","45 ถ. พัฒนาการคูขวาง","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"","https://www.google.com/maps/search/?api=1&query=GT%20%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2&query_place_id=ChIJ4azKITYBUzARrjjb-6Ki2_4",,,"บริการกวดวิชา"
"Enjoy Tutor",,,"30 292 ถ. พัฒนาการคูขวาง","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH","https://enjoytutor.my.canva.site/","+66 75 801 317","https://www.google.com/maps/search/?api=1&query=Enjoy%20Tutor&query_place_id=ChIJu6vS8sgBUzAR8fZAuVGtRxE",,,"บริการกวดวิชา"
"คณิตศาสตร์ พี่โจ๊ก วิศวะจุฬาฯ ติวเข้า ม.1 และ ติวเข้า ม.4 เบญจมฯ นครศรีธรรมราช","5","4","153, 38 ซอย ประตูขาว 2","Muang","นครศรีธรรมราช","TH","https://www.facebook.com/NakhonMath","+66 98 953 0970","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%20%E0%B8%9E%E0%B8%B5%E0%B9%88%E0%B9%82%E0%B8%88%E0%B9%8A%E0%B8%81%20%E0%B8%A7%E0%B8%B4%E0%B8%A8%E0%B8%A7%E0%B8%B0%E0%B8%88%E0%B8%B8%E0%B8%AC%E0%B8%B2%E0%B8%AF%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%20%E0%B8%A1.1%20%E0%B9%81%E0%B8%A5%E0%B8%B0%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%20%E0%B8%A1.4%20%E0%B9%80%E0%B8%9A%E0%B8%8D%E0%B8%88%E0%B8%A1%E0%B8%AF%20%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A&query_place_id=ChIJpVPY0EsBUzARbQ3p_iY_n4s",,,"บริการกวดวิชา"
"มหิดล ติวเตอร์ (สาขานครศรีธรรมราช)",,,"สาขานครศรีธรรมราช 173 พัฒนาคูขวาง","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"+66 75 357 132","https://www.google.com/maps/search/?api=1&query=%E0%B8%A1%E0%B8%AB%E0%B8%B4%E0%B8%94%E0%B8%A5%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20(%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A)&query_place_id=ChIJr1OaYEoBUzARHfYpqLzkzKw",,,"บริการกวดวิชา"
"ครูนางติวเตอร์",,,"742 25 ซอย เทพราช","เมือง","นครศรีธรรมราช","TH","https://www.facebook.com/KruNangTutor.Nakhon/?view_public_for=105390837902626","","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJWalwKCcBUzARTF45lX0FZOs",,,"ศูนย์การศึกษา"
"โรงเรียนกวดวิชาจิราธิวรรธน์สาขานครศรีธรรมราช",,,"242 ถนน ศรีธรรมโศก","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%88%E0%B8%B4%E0%B8%A3%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%98%E0%B8%99%E0%B9%8C%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A&query_place_id=ChIJO2NyijIBUzARCdaHEo5LSl8",,,"โรงเรียนกวดวิชา"
"Candy สอนพิเศษ","5","1","CXJ7+7WP ประตูขาว","อำเภอเมืองนครศรีธรรมราช","นครศรีธรรมราช","TH",,"","https://www.google.com/maps/search/?api=1&query=Candy%20%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9&query_place_id=ChIJofCKDDkBUzAR5J9LnpCVb98",,,
