"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"We By The Brain Buriram (วี บาย เดอะเบรน บุรีรัมย์)","5","2","19 ถนน สุนทรเทพ","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH","http://www.webythebrain.com/","+66 44 620 208","https://www.google.com/maps/search/?api=1&query=We%20By%20The%20Brain%20Buriram%20(%E0%B8%A7%E0%B8%B5%20%E0%B8%9A%E0%B8%B2%E0%B8%A2%20%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%99%20%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C)&query_place_id=ChIJ_____7uVGTERW7nSoo_QpNI",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาออนดีมานด์บุรีรัมย์","4.5","2","2317 ถ. ปลัดเมือง","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH","http://www.ondemand.in.th/","+66 44 612 503","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C&query_place_id=ChIJLUGOltyVGTERMzPgqumVhBE",,,"โรงเรียนกวดวิชา"
"จินตคณิต สมาร์ท เบรน เมืองบุรีรัมย์ (โรงเรียนกวดวิชาบ้านนักฝัน)","5","1","38, 76-77 ซอย แสนสุข 2","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH","https://lin.ee/gpjqXyo","+66 64 594 5541","https://www.google.com/maps/search/?api=1&query=%E0%B8%88%E0%B8%B4%E0%B8%99%E0%B8%95%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%20%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%20%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%99%20%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C%20(%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%9D%E0%B8%B1%E0%B8%99)&query_place_id=ChIJRddCPcSVGTERHoWcvgr2lWg",,,"สถาบันการศึกษา"
"กวดวิชาสิรวิชญ์","5","1","510/19 หาญชนะ Harchana Rd","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH",,"+66 44 613 609","https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%AA%E0%B8%B4%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%8D%E0%B9%8C&query_place_id=ChIJO2lu4sSVGTERwDFuYeddYIg",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาปัทมวรินทร์",,,"X4V3+HV5","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH",,"+66 62 942 2145","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9B%E0%B8%B1%E0%B8%97%E0%B8%A1%E0%B8%A7%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C&query_place_id=ChIJ87kBFgSVGTERTljm5XpODM4",,,"โรงเรียนกวดวิชา"
"เรียนพิเศษบุรีรัมย์",,,"2/3 ถนน หน้าสถานี","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH",,"+66 86 405 6216","https://www.google.com/maps/search/?api=1&query=%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C&query_place_id=ChIJgZZL3yKVGTERrYhX0KJKEcA",,,"โรงเรียนกวดวิชา"
"โรงเรียนกวดวิชาวรรณสรณ์ บุรีรัมย์",,,,"อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%AA%E0%B8%A3%E0%B8%93%E0%B9%8C%20%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C&query_place_id=ChIJwbTLmdyVGTERTd2dGxp-aZA",,,"โรงเรียนกวดวิชา"
"สถาบันกวดวิชา อาจารย์จี",,,,"อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20%E0%B8%AD%E0%B8%B2%E0%B8%88%E0%B8%B2%E0%B8%A3%E0%B8%A2%E0%B9%8C%E0%B8%88%E0%B8%B5&query_place_id=ChIJecvz_pSVGTER_YccZRh_t4Q",,,
"คุมองสาขาตลาด​ไนท์​บุรีรัมย์","4.3","4","267 ตลาดไนท์​บาร์ซ่า 113-114 ถนน จิระ","อ.เมือง","บุรีรัมย์","TH","http://www.facebook.com/kumonburiram","+66 81 577 3123","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E2%80%8B%E0%B9%84%E0%B8%99%E0%B8%97%E0%B9%8C%E2%80%8B%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C&query_place_id=ChIJberexriVGTER8gYknxr6ti0",,,"บริการกวดวิชา"
"สถาบันพัฒนาทักษะคณิตศาสตร์คิงแมทส์",,,"12/18, ถนนปลัดเมือง, ตำบลในเมือง อำเภอเมือง จังหวัดบุรีรัมย์, 31000","อำเภอเมืองบุรีรัมย์","บุรีรัมย์","TH","http://www.kingmath.co.th/","+66 44 602 070","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%97%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B0%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%B4%E0%B8%87%E0%B9%81%E0%B8%A1%E0%B8%97%E0%B8%AA%E0%B9%8C&query_place_id=ChIJQ-x9Cb2VGTERGEhzlYUMDpY",,,"บริการกวดวิชา"
