"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"โรงเรียนกวดวิชาด็อกเตอร์ติวเตอร์","5","62","เลขที่ ค.23/3-4 ถ.คลองมะขามเรียง ถนน หอรัตนไชย","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","https://www.facebook.com/Doctor-TUTOR-1584879638459980/","+66 93 493 6326","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%94%E0%B9%87%E0%B8%AD%E0%B8%81%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJsWXdd0x04jARzkL-y6dS0-I",,,"บริการกวดวิชา"
"Perfect Ayutthaya TuTor","5","1","11/62 ซอยหอรัตนไชย 4","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"","https://www.google.com/maps/search/?api=1&query=Perfect%20Ayutthaya%20TuTor&query_place_id=ChIJn_R1BE104jARGxuHscxNd1c",,,"บริการกวดวิชา"
"ติวเตอร์แอ็ทโฮม","5","2","9H6C+FRP 11/62 ซอยหอรัตนไชย 4","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%81%E0%B8%AD%E0%B9%87%E0%B8%97%E0%B9%82%E0%B8%AE%E0%B8%A1&query_place_id=ChIJKa_LC0104jARTetU6EB6RDU",,,
"โรงเรียนกวดวิชาบ้านครูกล้วย อยุธยา","4","12","ประตูชัย 11/56 หมู่ 1 ถนน จักร พร ร ดิ์ อำเภอ","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","https://bankrukluay.com/","+66 80 666 4677","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%A2%20%E0%B8%AD%E0%B8%A2%E0%B8%B8%E0%B8%98%E0%B8%A2%E0%B8%B2&query_place_id=ChIJDff2BU104jARXk_HckK7qPU",,,"โรงเรียนกวดวิชา"
"The Learning Link","4.5","4","21/2 Soi Bang Ean 10, Naresuan Rd. Pratoochai","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"+66 35 245 294","https://www.google.com/maps/search/?api=1&query=The%20Learning%20Link&query_place_id=ChIJh9smRkx04jARJBBEi901Hcw",,,"ศูนย์โรงเรียน"
"Ms","5","1","33/118","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"","https://www.google.com/maps/search/?api=1&query=Ms&query_place_id=ChIJeREaT-N14jARB6yQyoHXoDc",,,"ติวเตอร์ส่วนตัว"
"Coway by DrWhan","5","9","เลขที่ ค.23/3-4 ถ. คลองมะขามเรียง","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","http://www.doctortutorschool.com/","+66 93 493 6326","https://www.google.com/maps/search/?api=1&query=Coway%20by%20DrWhan&query_place_id=ChIJ3-Yuhod14jARDsKFqoiWOm8",,,"ที่ปรึกษาสุขภาพ"
"Tong Tutor สอนพิเศษอยุธยา","5","1","19 31 U Thong Soi 30","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"","https://www.google.com/maps/search/?api=1&query=Tong%20Tutor%20%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B8%AD%E0%B8%A2%E0%B8%B8%E0%B8%98%E0%B8%A2%E0%B8%B2&query_place_id=ChIJmyB4EsF14jARNAvLVChOAkI",,,"ติวเตอร์ส่วนตัว"
"บ้านแม่อ้อ รับสอนพิเศษอังกฤษ","5","4","9H33+RXM ประตูชัย ซอย11","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","https://www.facebook.com/share/15PMfHSxyML/?mibextid=wwXIfr","+66 86 003 8245","https://www.google.com/maps/search/?api=1&query=%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AD%E0%B9%89%E0%B8%AD%20%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B8%AD%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%A4%E0%B8%A9&query_place_id=ChIJUfMA7bd14jARPkL2ZexG1yY",,,"ติวเตอร์ส่วนตัว"
"ครูพีร์ English",,,"ครูพีร์ English, Huntra","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"+66 61 795 2895","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%9E%E0%B8%B5%E0%B8%A3%E0%B9%8C%20English&query_place_id=ChIJiVwKeiJ14jARpux-cvhpGU8",,,"ติวเตอร์ส่วนตัว"
"โรงเรียนกวดวิชาออนดีมานด์ สาขาอยุธยา","4","3","อาคารพาณิชย์ในตลาดโต้รุ่งตรงข้ามโรงเรียนอยุธยาวิทยาลัย 49-49/1 ถนน ป่าโทน","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","http://www.ondemand.in.th/","+66 93 132 1881","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B9%8C%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AD%E0%B8%A2%E0%B8%B8%E0%B8%98%E0%B8%A2%E0%B8%B2&query_place_id=ChIJjd1_GEp04jARVT02CjxI2D8",,,"โรงเรียนกวดวิชา"
"โรงเรียนกวดวิชาบ้านครูแอน","5","1","11/26-27","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"+66 87 560 2486","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B9%81%E0%B8%AD%E0%B8%99&query_place_id=ChIJX2oqK-Z14jARE9rZSHJh17M",,,"โรงเรียนกวดวิชา"
"สอนภาษาบ้านครูมุก","5","2","8HXC+JPG วาทะ-ประภา","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","https://www.facebook.com/MOOK.teach.by.heart","+66 91 554 5645","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%A1%E0%B8%B8%E0%B8%81&query_place_id=ChIJCVchiFJ14jARQ2FdYZ7q8_M",,,"ติวเตอร์ส่วนตัว"
"โรงเรียนกวดวิชาภัทรศึกษา","1","1","15-7 ป่ามะพร้าว","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%A0%E0%B8%B1%E0%B8%97%E0%B8%A3%E0%B8%A8%E0%B8%B6%E0%B8%81%E0%B8%A9%E0%B8%B2&query_place_id=ChIJ83qYE0104jARJDZDk-fpBvw",,,"สถาบันการศึกษา"
"The Steps @Ayutthaya","5","2","15/11 ถ.ราเมศวร ต","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","https://www.facebook.com/The-Steps-535729646895465/","+66 62 681 4884","https://www.google.com/maps/search/?api=1&query=The%20Steps%20%40Ayutthaya&query_place_id=ChIJYej_wd914jARcF5Ii8Ia9_M",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาเกรดเอ",,,"ฑ4/83. ต.หัวรอ","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH","https://www.gradeaschool.com/register","+66 85 173 0195","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94%E0%B9%80%E0%B8%AD&query_place_id=ChIJDxTyA1N04jARQV4-gG0O4C4",,,"โรงเรียนกวดวิชา"
"โรงเรียนกวดวิชาก้าวหน้า",,,"9H5F+GGF","อำเภอ พระนครศรีอยุธยา","จังหวัดพระนครศรีอยุธยา","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%81%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2&query_place_id=ChIJhVg3x0x04jARkTN1J3dRyFw",,,"สถาบันการศึกษา"
