"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"Englishroom Academy สาขาระยอง","5","1","4/46 ถนน ราษฎร์บำรุง ซอย 12","เมือง","ระยอง","TH",,"+66 94 991 7021","https://www.google.com/maps/search/?api=1&query=Englishroom%20Academy%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%AD%E0%B8%87&query_place_id=ChIJh6g-lKD7AjERQtnDneu9XCQ",,,"บริการกวดวิชา"
"โรงเรียนเปี่ยมวิทยา ระยอง สอนพิเศษ กวดวิชา คณิตศาสตร์ ภาษาอังกฤษ","5","1","92/1 ถ. ตากสินมหาราช","อำเภอเมืองระยอง","ระยอง","TH",,"+66 84 669 6433","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%20%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%AD%E0%B8%87%20%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%20%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%20%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%AD%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%A4%E0%B8%A9&query_place_id=ChIJ0WWvVhj8AjERjMYMN7priWA",,,"โรงเรียนกวดวิชา"
"สอนศาสตร์-สอนพิเศษระยอง",,,"287/18","เมือง","ระยอง","TH","https://www.facebook.com/sonsart.rayong","+66 61 519 9492","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%AD%E0%B8%87&query_place_id=ChIJdd_yfWj7AjERS5XZUtCfufw",,,"โรงเรียนกวดวิชา"
"ครูปุ๊กปิ๊ก","3.7","3","103 Sangjan Road, Tambol","อำเภอเมืองระยอง","ระยอง","TH",,"+66 81 863 1311","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%9B%E0%B8%B4%E0%B9%8A%E0%B8%81&query_place_id=ChIJ4yTHTvP7AjERIC5pgtXluWE",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาออนดีมานด์ สาขาระยอง","5","5","93/1","อำเภอเมืองระยอง","ระยอง","TH","http://www.ondemand.in.th/","+66 38 613 900","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B9%8C%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%AD%E0%B8%87&query_place_id=ChIJNd9UgWz8AjERcqTerbv0zC4",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาบ้านครูปุ๊กปิ๊ก","4.9","7","2/17","เมือง","ระยอง","TH","https://www.facebook.com/KruPookPikTuTor","+66 83 834 6067","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%9B%E0%B8%B4%E0%B9%8A%E0%B8%81&query_place_id=ChIJD3jFFn39AjEROoMfsth5914",,,"โรงเรียนกวดวิชา"
"คณิตพี่แพน","5","2","ทล.3 39/61 คอนโดศรีสุนทร ถนนสุขุมวิท ทล.3 อำเภอเมืองระยอง","อำเภอเมืองระยอง","ระยอง","TH",,"+66 83 465 9997","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%9E%E0%B8%B5%E0%B9%88%E0%B9%81%E0%B8%9E%E0%B8%99&query_place_id=ChIJzb7QvvDlAjERu7Nb-Chqy4k",,,"โรงเรียนกวดวิชา"
"สถาบันกวดวิชา Eye Level Rayong","4.4","5","123/11 Mueang","อำเภอเมืองระยอง","ระยอง","TH","http://www.eyelevel.co.th/","+66 90 996 2992","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20Eye%20Level%20Rayong&query_place_id=ChIJwx1u6F79AjERzB44f2_dNPs",,,"บริการกวดวิชา"
"กวดวิชาภาษาอังกฤษอาจารย์ชัชชัย สาขาชลบุรี","4","1","53/139 ถนน สุขุมวิท","อำเภอเมืองระยอง","ระยอง","TH",,"+66 38 797 413","https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%A0%E0%B8%B2%E0%B8%A9%E0%B8%B2%E0%B8%AD%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%A4%E0%B8%A9%E0%B8%AD%E0%B8%B2%E0%B8%88%E0%B8%B2%E0%B8%A3%E0%B8%A2%E0%B9%8C%E0%B8%8A%E0%B8%B1%E0%B8%8A%E0%B8%8A%E0%B8%B1%E0%B8%A2%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5&query_place_id=ChIJbxekyIU1HTERfRXgN9BNQQ4",,,"สถาบันการเงิน"
"ศูนย์คุมอง ระยอง ถนนราชชุมพล (โครงการบียอนด์)","5","2","M7P3+XM4","อำเภอเมืองระยอง","ระยอง","TH","https://th.kumonglobal.com/","+66 82 606 3651","https://www.google.com/maps/search/?api=1&query=%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%84%E0%B8%B8%E0%B8%A1%E0%B8%AD%E0%B8%87%20%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%AD%E0%B8%87%20%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%8A%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%A5%20(%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%8C)&query_place_id=ChIJkbluP4_9AjER0sbZ4cooKiY",,,"โรงเรียนกวดวิชา"
