"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"The One เลขคณิตคิดง่ายง่าย","5","1","2MV3+JJH 8 สุริยเดชบำรุง ซอย 8","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH",,"","https://www.google.com/maps/search/?api=1&query=The%20One%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%84%E0%B8%B4%E0%B8%94%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2&query_place_id=ChIJM8scIAD9FzERUihfNsjlXB0",,,"ติวเตอร์ส่วนตัว"
"ร้อยเอ็ดติวเตอร์ (ติวตำรวจ) สาขา2","5","1","19/40-41.ถ.บ้านท่านคร ต.ในเมือง อ.เมือง","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH","http://www.facebook.com/roiet.tutor","+66 90 519 1978","https://www.google.com/maps/search/?api=1&query=%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20(%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B8%95%E0%B8%B3%E0%B8%A3%E0%B8%A7%E0%B8%88)%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B22&query_place_id=ChIJbfM1fGT9FzERa8E-kPtWfP8",,,"ศูนย์การเรียนรู้"
"KID MATH ครูใบเฟิร์น",,,"52/1 รณชัยชาญยุทธ ซอย 12/1","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH","https://www.facebook.com/KIDMATHz","+66 90 293 0555","https://www.google.com/maps/search/?api=1&query=KID%20MATH%20%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%9F%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%99&query_place_id=ChIJnVeLAKb9FzERnaO4zEFMB1w",,,"โรงเรียนกวดวิชา"
"วะชิติวเตอร์",,,"352 ถ. ผดุงพานิช","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH",,"+66 83 642 1971","https://www.google.com/maps/search/?api=1&query=%E0%B8%A7%E0%B8%B0%E0%B8%8A%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJ7UTWjsb9FzERqI2OE_ti2ic",,,"บริการกวดวิชา"
"สถาบันสอนพิเศษครูนก","5","1","1/10 เทวาภิบาล ซอย 13","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%99%E0%B8%81&query_place_id=ChIJ_2L7FQD9FzERdG_Gt4TiR2M",,,"ศูนย์การเรียนรู้"
"โรงเรียนกวดวิชา RC ร้อยเอ็ด","4.8","13","15 21","เมือง","ร้อยเอ็ด","TH",,"+66 43 513 801","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20RC%20%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94&query_place_id=ChIJNRSGJTP8FzER_GrWfnKUG_U",,,"บริการกวดวิชา"
"We By The Brain Roiet (วี บาย เดอะเบรน ร้อยเอ็ด)","4.4","7","37, 40-42 สันติสุข","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH","http://www.webythebrain.com/","+66 43 516 161","https://www.google.com/maps/search/?api=1&query=We%20By%20The%20Brain%20Roiet%20(%E0%B8%A7%E0%B8%B5%20%E0%B8%9A%E0%B8%B2%E0%B8%A2%20%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%99%20%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94)&query_place_id=ChIJ67AIfMj9FzERWG7t-qUsSXk",,,"โรงเรียนกวดวิชา"
"สถาบันกวดวิชาเจี๋ย สาขาร้อยเอ็ด","4","1","2 34-35 ถ. แจ้งสนิท","เมือง","ร้อยเอ็ด","TH",,"+66 43 513 900","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%88%E0%B8%B5%E0%B9%8B%E0%B8%A2%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94&query_place_id=ChIJrTBNNsj9FzERl1areCc49kc",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาครูอุ้มร้อยเอ็ด","5","2","49/1 ถนน ประชาธรรมรักษ์","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH","https://www.facebook.com/kruoom101/","+66 81 061 1141","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%AD%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94&query_place_id=ChIJuSc4F1n9FzER_bt52Z7IFnU",,,"โรงเรียนกวดวิชา"
"โรงเรียนกวดวิชาออนดีมานด์ สาขาร้อยเอ็ด","4.5","2","3M44+XX5","อำเภอเมืองร้อยเอ็ด","ร้อยเอ็ด","TH","http://www.ondemand.in.th/","+66 43 516 800","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B8%B5%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B9%8C%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94&query_place_id=ChIJ6Vs82Mf9FzERUDUL3Td6I0A",,,"โรงเรียนกวดวิชา"
