"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"Tutor at Home ติวง่ายๆที่บ้าน","5","2","หมู่ที่ 1 24","อำเภอ ขุนหาญ","ศรีสะเกษ","TH",,"+66 98 383 1357","https://www.google.com/maps/search/?api=1&query=Tutor%20at%20Home%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B8%87%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%86%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99&query_place_id=ChIJPW4HvD7VFjERS5I-LHIzoys",,,"ติวเตอร์ส่วนตัว"
"กวดวิขา THE TUTOR เดอะติวเตอร์",,,"3 สิ","อำเภอ ขุนหาญ","ศรีสะเกษ","TH",,"","https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%82%E0%B8%B2%20THE%20TUTOR%20%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJmT3IbijTFjER26EP6pQs9bU",,,"บริการกวดวิชา"
"ครูทิพย์ ติวเตอร์","5","5","JJPV+Q3C","อำเภอกันทรลักษ์","ศรีสะเกษ","TH",,"+66 98 664 2329","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJNRwnM_fLFjER1BJ74gHdF8o",,,"โรงเรียนกวดวิชา"
"ครูเพียวติวเตอร์",,,"93","อำเภอกันทรลักษ์","ศรีสะเกษ","TH","https://www.facebook.com/Krupuretutor/","+66 88 582 8184","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJpbulIBTLFjERfNTrCEmcITc",,,"ติวเตอร์ส่วนตัว"
"ครูมุกติวเตอร์",,,"71","อำเภอกันทรลักษ์","ศรีสะเกษ","TH",,"+66 82 368 1192","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJ7wjft9CzFjER3635-EC1rAg",,,"ติวเตอร์ส่วนตัว"
"โรงเรียนสมานติวเตอร์","3","1","60","อำเภอกันทรลักษ์","ศรีสะเกษ","TH",,"+66 81 265 0402","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJxZ4PKnPKFjEReyLHnL5t3Ss",,,"สถาบันการศึกษา"
"ขุนหาญ เดอะติวเตอร์",,,"JCGC+WM7","อำเภอ ขุนหาญ","ศรีสะเกษ","TH",,"+66 81 718 8665","https://www.google.com/maps/search/?api=1&query=%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%AB%E0%B8%B2%E0%B8%8D%20%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJ6Z2ZS6rTFjERp-ycePKc3dg",,,"ติวเตอร์ส่วนตัว"
"บ้านครูณัฐ คณิตวิทย์ - เรียนพิเศษกันทรลักษ์","5","3","654 ต","อำเภอกันทรลักษ์","ศรีสะเกษ","TH",,"+66 93 785 5557","https://www.google.com/maps/search/?api=1&query=%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%93%E0%B8%B1%E0%B8%90%20%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C%20-%20%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%A8%E0%B8%A9%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C&query_place_id=ChIJfzbd3GDLFjER6TNZsooPZx4",,,"โรงเรียนกวดวิชา"
"EJ KruEve Tutor",,,"212หมู่11 บ้านเเสนตอ","อำเภอ โนนคูณ","ศรีสะเกษ","TH","https://www.facebook.com/profile.php?id=100090963774661","+66 82 747 7239","https://www.google.com/maps/search/?api=1&query=EJ%20KruEve%20Tutor&query_place_id=ChIJYTBZm16_FjERvyoF1WENBIE",,,"โรงเรียนกวดวิชา"
"Teacherframe",,,,"อำเภอ ขุนหาญ","ศรีสะเกษ","TH",,"","https://www.google.com/maps/search/?api=1&query=Teacherframe&query_place_id=ChIJOa5YI8ktETERrT0qIcalVrE",,,"โรงเรียนการศึกษาผู้ใหญ่"
