"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"โรงเรียนกวดวิชา รดา",,,"176 2 ถนน สายลวด","อำเภอเมือง","สมุทรปราการ","TH",,"+66 82 983 2555","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20%E0%B8%A3%E0%B8%94%E0%B8%B2&query_place_id=ChIJa5S6J0an4jAR0dmLtQPSCu8",,,"บริการกวดวิชา"
"สถาบันกวดวิชาพี่ขนุนติวเตอร์ P'Kanoon Tutor","5","63","2, 2 ถ. อัฐมิตร","อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH","https://www.facebook.com/share/1AWTYi1Eu3/?mibextid=wwXIfr","+66 91 797 4342","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9E%E0%B8%B5%E0%B9%88%E0%B8%82%E0%B8%99%E0%B8%B8%E0%B8%99%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20P'Kanoon%20Tutor&query_place_id=ChIJFRCv2nih4jARh7rALtbPdy0",,,"บริการกวดวิชา"
"pptutor สถาบันกวดวิชาพีพีติวเตอร์ ปากนำ้","5","3","30, 1 ถนน ประโคนชัย","อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH","http://pptutor-paknam.com/","+66 92 439 2111","https://www.google.com/maps/search/?api=1&query=pptutor%20%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9E%E0%B8%B5%E0%B8%9E%E0%B8%B5%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%99%E0%B8%B3%E0%B9%89&query_place_id=ChIJi1Wl6Zen4jARmMM5ujlcIVM",,,"สถาบันการศึกษา"
"กวดวิชาครูพีปากน้ำ","4.2","5","ถ. อัฐมิตร","อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH",,"+66 95 106 4492","https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%9E%E0%B8%B5%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%99%E0%B9%89%E0%B8%B3&query_place_id=ChIJQUBP3rKg4jARchgOzs2sKHA",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาครูอ๊อดติวเตอร์","1","1",,"อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH",,"+66 2 702 9059","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%AD%E0%B9%8A%E0%B8%AD%E0%B8%94%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJHcqKn7Og4jAR81X_4O4NIBQ",,,"ศูนย์เตรียมสอบ"
"สถาบันกวดวิชาเป็นเลิศ","5","2","503 ถ. สุขุมวิท","อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH","https://www.facebook.com/penlert168","+66 85 663 4955","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%B4%E0%B8%A8&query_place_id=ChIJ30puArOg4jARHvjgDcOIzro",,,"บริการกวดวิชา"
"Kumon",,,"193 ถนน ประโคนชัย","อำเภอเมือง","สมุทรปราการ","TH","http://www.kumon.com/","+66 92 619 8891","https://www.google.com/maps/search/?api=1&query=Kumon&query_place_id=ChIJb1U3hzWn4jARvHw4erGiUWc",,,"บริการกวดวิชา"
"PP ติวเตอร์",,,"58 ถ. ปราการ","อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH",,"","https://www.google.com/maps/search/?api=1&query=PP%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJVaL3vEqn4jAR_eRJixLok3E",,,"ติวเตอร์ส่วนตัว"
"ศูนย์กวดวิชาIEPI4","5","1","HHWX+R6M ซอย ศรีสมุทร 3","อำเภอเมืองสมุทรปราการ","สมุทรปราการ","TH",,"+66 93 921 0877","https://www.google.com/maps/search/?api=1&query=%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2IEPI4&query_place_id=ChIJrSxecLWg4jARDycIua0cdaY",,,"บริการกวดวิชา"
"สถาบันกวดวิชาฟิวเจอร์ล็อค Futurelock​ Academy​","5","4","545/37","เมือง","สมุทรปราการ","TH","http://www.futurelockacademy.com/","+66 92 466 1594","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%9F%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%88%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%84%20Futurelock%E2%80%8B%20Academy%E2%80%8B&query_place_id=ChIJ8zp60e6h4jARVgwKj6LgVS8",,,"โรงเรียนกวดวิชา"
