"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"PHYSICS A.NUN","5","5","ซอย ชยางกูร 10","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH",,"","https://www.google.com/maps/search/?api=1&query=PHYSICS%20A.NUN&query_place_id=ChIJW4uDCDCHFjERm1XfLpLnATY",,,"ศูนย์การเรียนรู้"
"ไอคิวติวเตอร์ IQ TUTOR By Dr.Supatra","5","2","11 ถนน พโลชัย","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH","https://m.facebook.com/pages/category/Tutor-Teacher/IQ-Tutor-by-Dr-Supatra-850545008380107/","+66 99 444 6956","https://www.google.com/maps/search/?api=1&query=%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%B4%E0%B8%A7%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%20IQ%20TUTOR%20By%20Dr.Supatra&query_place_id=ChIJKx40PE6HFjERFp8OYL0I_1o",,,"ติวเตอร์ส่วนตัว"
"Delta Tutor","5","1","781 ถนนสรรพสิทธิ์","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH",,"","https://www.google.com/maps/search/?api=1&query=Delta%20Tutor&query_place_id=ChIJ5a-yq32IFjERFOKxiCEdkz4",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชา โพธิ์ทองวิทยา","4.9","8","111 ถ. ชยางกูร","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH","http://www.pothong.com/","+66 45 242 433","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2&query_place_id=ChIJzwDkudOHFjEROumhRUxqWJ4",,,"บริการกวดวิชา"
"We By The Brain Ubonratchathani (วี บาย เดอะเบรน อุบลราชธานี)","4.3","6","139 ถ. แจ้งสนิท","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH","https://www.webythebrain.com/","+66 45 953 616","https://www.google.com/maps/search/?api=1&query=We%20By%20The%20Brain%20Ubonratchathani%20(%E0%B8%A7%E0%B8%B5%20%E0%B8%9A%E0%B8%B2%E0%B8%A2%20%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%99%20%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5)&query_place_id=ChIJJeV4tXaIFjERif6K2tPLspk",,,"บริการกวดวิชา"
"โรงเรียนสุรพจน์วิทยา 1 (SPTUTOR)","5","1","791 ถนนสรรพสิทธิ์","เมือง","อุบลราชธานี","TH","https://sptutor.com/","+66 81 877 6765","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%9E%E0%B8%88%E0%B8%99%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%201%20(SPTUTOR)&query_place_id=ChIJwavXe36IFjERtYCcJbjlqlg",,,"บริการกวดวิชา"
"Tutor Dd Math And Science",,,"419 ถนนสรรพสิทธิ์","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH",,"","https://www.google.com/maps/search/?api=1&query=Tutor%20Dd%20Math%20And%20Science&query_place_id=ChIJ89qQ6NKHFjERw3rlJ-BUax0",,,"บริการกวดวิชา"
"โรงเรียนสุรพจน์วิทยา 2 (SPTUTOR)","5","2","18 ถนน นครบาล","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH","https://sptutor.com/","+66 45 255 173","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%9E%E0%B8%88%E0%B8%99%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%202%20(SPTUTOR)&query_place_id=ChIJ1-LpSDKGFjER7B3KhSTyTpM",,,"บริการกวดวิชา"
"ครูพี่ดิวติวเตอร์",,,"78 4 ชยางกูร 21","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH",,"+66 64 224 4095","https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B8%9E%E0%B8%B5%E0%B9%88%E0%B8%94%E0%B8%B4%E0%B8%A7%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJQ3OGnOuJFjERRQjBZ-MVrWI",,,"โรงเรียนกวดวิชา"
"Baker’s English Tutoring",,,"327 ถนน อุปลีสาน","อำเภอเมืองอุบลราชธานี","อุบลราชธานี","TH",,"+66 97 041 2285","https://www.google.com/maps/search/?api=1&query=Baker%E2%80%99s%20English%20Tutoring&query_place_id=ChIJ82idz8CHFjERaxmvQ3zAjAQ",,,"โรงเรียนสอนภาษาอังกฤษ"
