"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","url","categories/0","categories/1","categoryName"
"Freedom Tutor","5","28","ห้อง 5 โครงการ c park Freedom tutor","อำเภอเมือง","เชียงใหม่","TH","https://www.facebook.com/tutorformontfort.prince.yupparaj","+66 81 165 4400","https://www.google.com/maps/search/?api=1&query=Freedom%20Tutor&query_place_id=ChIJwyPVQhUx2jARiGkP5eubD_I",,,"บริการกวดวิชา"
"สถาบันกวดวิชาแอคมีเซ็นเตอร์","5","2",,"อำเภอเมืองเชียงใหม่","เชียงใหม่","TH","https://www.facebook.com/acmecentercm/","+66 84 654 1962","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%81%E0%B8%AD%E0%B8%84%E0%B8%A1%E0%B8%B5%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C&query_place_id=ChIJuQMUeUsl2jARYvbomx7C2Q0",,,"โรงเรียนกวดวิชา"
"กวดวิชา Art Garden ติวสถาปัตย์ มัณฑนศิลป์","5","13","69 ถนนทุ่งโฮเต็ล","อำเภอเมืองเชียงใหม่","เชียงใหม่","TH",,"+66 95 447 2649","https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20Art%20Garden%20%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9B%E0%B8%B1%E0%B8%95%E0%B8%A2%E0%B9%8C%20%E0%B8%A1%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%99%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B9%8C&query_place_id=ChIJsVbn0U0l2jARbRzF0cqJf8c",,,"โรงเรียนกวดวิชา"
"WLS Tutor - กวดวิชา WLS เชียงใหม่",,,"117, 4 ถนน บำรุงราษฎร์","เมือง","เชียงใหม่","TH","https://www.facebook.com/profile.php?id=100087464550524","+66 94 748 4645","https://www.google.com/maps/search/?api=1&query=WLS%20Tutor%20-%20%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20WLS%20%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88&query_place_id=ChIJoYl1Y4Q72jARvqbsqWFfS2Y",,,"บริการกวดวิชา"
"สมาร์ทเบรน สาขาหน้าโรงเรียนปริ้นส์","1","1","4 ถ 116/1 ล๊อคที่ ถนน แก้วนวรัฐ","เมือง","เชียงใหม่","TH",,"+66 94 643 2224","https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%9A%E0%B8%A3%E0%B8%99%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%AA%E0%B9%8C&query_place_id=ChIJc3fQ4EAl2jARN2uw9xcj0RM",,,"สถาบันการศึกษา"
"About Math & Applied Tutors","5","12","12 ถนน แก้วนวรัฐ ซอย 2","อำเภอเมืองเชียงใหม่","เชียงใหม่","TH","https://m.facebook.com/aboutmath.tutors/","+66 86 492 9939","https://www.google.com/maps/search/?api=1&query=About%20Math%20%26%20Applied%20Tutors&query_place_id=ChIJSTkKY4Q72jAR1PnzbNbRdQI",,,"โรงเรียน"
"โรงเรียนดรุณีกวดวิชา (ครูแขก)","5","2","27/3 ราษฎร์อุทิศ ซอย 8","อำเภอเมืองเชียงใหม่","เชียงใหม่","TH",,"+66 53 302 227","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%94%E0%B8%A3%E0%B8%B8%E0%B8%93%E0%B8%B5%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%20(%E0%B8%84%E0%B8%A3%E0%B8%B9%E0%B9%81%E0%B8%82%E0%B8%81)&query_place_id=ChIJESfbiP0v2jAR1yIT4Wp2Xi8",,,"บริการกวดวิชา"
"กวดวิชาตรีวิทย์","4","1","343 ถนน เจริญราษฎร์","อำเภอเมืองเชียงใหม่","เชียงใหม่","TH","https://m.facebook.com/%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C-Treewit-tutor-310890289069396/","+66 89 954 8972","https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C&query_place_id=ChIJ_6ulA7c62jARlGLTcybJxFA",,,"ศูนย์การเรียนรู้"
"Math Aj Khun",,,"112 ทุ่งโฮเต็ล ซอย 2","อ.เมือง","เชียงใหม่","TH",,"+66 85 863 9665","https://www.google.com/maps/search/?api=1&query=Math%20Aj%20Khun&query_place_id=ChIJlTGdJdIk2jARRcMYgA7ouCg",,,"บริการกวดวิชา"
"โรงเรียนกวดวิชาเตรียมทหาร คาเดทควอลิตี้","3.8","4","QXRX+X93 ถ. ท้ายวัง","อำเภอเมืองเชียงใหม่","เชียงใหม่","TH","http://www.cadetquality.com/","+66 81 671 0859","https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%81%E0%B8%A7%E0%B8%94%E0%B8%A7%E0%B8%B4%E0%B8%8A%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A1%E0%B8%97%E0%B8%AB%E0%B8%B2%E0%B8%A3%20%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%94%E0%B8%97%E0%B8%84%E0%B8%A7%E0%B8%AD%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%B5%E0%B9%89&query_place_id=ChIJo7yHLbs62jARuAvddHgBXM8",,,"โรงเรียนกวดวิชา"
